File,Width,Height,Mode,Format,Size,Author,Device,Exposure,Object Detected
./images_from_G/LAS - Arek - 67.jpg,4320,3240,RGB,JPEG,3387700,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/LAS - Arek - 68.jpg,4320,3240,RGB,JPEG,3440933,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/LAS - Arek - 69.jpg,4320,3240,RGB,JPEG,3558348,,Canon PowerShot SX150 IS,1/30,[]
./images_from_G/LAS - Arek - 70.jpg,4320,3240,RGB,JPEG,3176474,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/LAS - Arek - 71.jpg,4320,3240,RGB,JPEG,3718015,,Canon PowerShot SX150 IS,1/10,[]
./images_from_G/LAS - Arek - 72.jpg,4320,3240,RGB,JPEG,3743437,,Canon PowerShot SX150 IS,1/10,[]
./images_from_G/LAS - Arek - 73.jpg,4320,3240,RGB,JPEG,3819300,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS - Arek - 74.jpg,4320,3240,RGB,JPEG,3403855,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/LAS - Arek - 75.jpg,4320,3240,RGB,JPEG,3422145,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/LAS - Arek - 76.jpg,4320,3240,RGB,JPEG,3390583,,Canon PowerShot SX150 IS,1/10,[]
./images_from_G/LAS1 - Arek - 02 (10).jpg,4320,3240,RGB,JPEG,4326271,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS1 - Arek - 02.jpg,4320,3240,RGB,JPEG,3826304,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS1 - Arek - 02 (1).jpg,4320,3240,RGB,JPEG,4890521,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS1 - Arek - 02 (2).jpg,4320,3240,RGB,JPEG,3806299,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (3).jpg,4320,3240,RGB,JPEG,4297091,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (4).jpg,4320,3240,RGB,JPEG,3847337,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (5).jpg,4320,3240,RGB,JPEG,4558385,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (6).jpg,4320,3240,RGB,JPEG,3413322,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (7).jpg,4320,3240,RGB,JPEG,3806652,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS1 - Arek - 02 (8).jpg,4320,3240,RGB,JPEG,3784075,,Canon PowerShot SX150 IS,1/25,[]
./images_from_G/LAS1 - Arek - 02 (9).jpg,4320,3240,RGB,JPEG,3575001,,Canon PowerShot SX150 IS,1/25,[]
./images_from_G/LAS2 - Arek - 12.jpg,4320,3240,RGB,JPEG,3566438,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (1).jpg,4320,3240,RGB,JPEG,3123777,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (2).jpg,4320,3240,RGB,JPEG,4184535,,Canon PowerShot SX150 IS,1/500,[]
./images_from_G/LAS2 - Arek - 12 (3).jpg,4320,3240,RGB,JPEG,3318344,,Canon PowerShot SX150 IS,1/25,[]
./images_from_G/LAS2 - Arek - 12 (4).jpg,4320,3240,RGB,JPEG,3439853,,Canon PowerShot SX150 IS,1/30,[]
./images_from_G/LAS2 - Arek - 12 (5).jpg,4320,3240,RGB,JPEG,4021705,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (6).jpg,4320,3240,RGB,JPEG,3493544,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (7).jpg,4320,3240,RGB,JPEG,3283046,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (8).jpg,4320,3240,RGB,JPEG,2725725,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (9).jpg,4320,3240,RGB,JPEG,4005147,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS2 - Arek - 12 (10).jpg,4320,3240,RGB,JPEG,3739524,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (11).jpg,4320,3240,RGB,JPEG,4228574,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS2 - Arek - 12 (12).jpg,4320,3240,RGB,JPEG,3804855,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS2 - Arek - 12 (13).jpg,4320,3240,RGB,JPEG,4052937,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS2 - Arek - 12 (14).jpg,4320,3240,RGB,JPEG,3454004,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS2 - Arek - 12 (15).jpg,4320,3240,RGB,JPEG,4088502,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS2 - Arek - 12 (16).jpg,4320,3240,RGB,JPEG,3521298,,Canon PowerShot SX150 IS,1/20,[]
